code,description,classification
1E51.Z,Chronic viral hepatitis unspecified,not a valid entry
1E5Z,Viral hepatitis unspecified,not a valid entry
1E70,Smallpox,emergency disease
1E71,Monkeypox,emergency disease
1E72,Cowpox,rare disease
1E73,Vaccinia,rare disease
1E74,Buffalopox,rare disease
1E75,Orf,rare disease
1E76,Molluscum contagiosum,common disease
1E7Y,Other specified infections due to poxvirus,not a valid entry
1E7Z,Infections due to poxvirus unspecified,not a valid entry
1E80.0,Digital or periungual warts,common disease
1E80.1,Plantar warts,common disease
1E80.Y,Other specified common warts,not a valid entry
1E81,Plane warts,common disease
1E82.0,Focal epithelial hyperplasia of oral mucous membranes,rare disease
1E83,Wart virus proliferation in immune-deficient states,not a valid entry
1E8Z,Viral warts not elsewhere classified,not a valid entry
1E90.0,Varicella without complication,common disease
1E90.1,Varicella meningitis,emergency disease
1E90.2,Varicella encephalitis,emergency disease
1E90.Y,Varicella with other specified complication,emergency disease
1E90.Z,Varicella unspecified,not a valid entry
1E91.0,Zoster without complications,common disease
1E91.1,Ophthalmic zoster,common disease
1E91.2,Disseminated zoster,emergency disease
1E91.3,Zoster with central nervous system involvement,emergency disease
1E91.40,Acute trigeminal zoster neuropathy,common disease
1E91.41,Acute herpetic geniculate ganglionitis,emergency disease
1E91.4Y,Other specified acute neuropathy of cranial nerve due to zoster,not a valid entry
1E91.5,Postherpetic polyneuropathy,common disease
1E91.Y,Zoster with other specified complications,not a valid entry
1E91.Z,Zoster unspecified,not a valid entry
1F00.00,Herpes simplex infection of skin,common disease
1F00.01,Herpes simplex labialis,common disease
1F00.02,Herpes simplex gingivostomatitis,common disease
1F00.03,Disseminated cutaneous herpes simplex infection complicating other skin diseases,not a valid entry
1F00.0Y,Other specified herpes simplex infection of skin or mucous membrane,not a valid entry
1F00.10,Herpes simplex keratitis,common disease
1F00.11,Herpes simplex infection of eyelid,common disease
1F00.1Y,Other specified herpes simplex infection of the eye,not a valid entry
1F00.1Z,Herpes simplex infection of the eye unspecified,not a valid entry
1F00.20,Herpes simplex meningitis,emergency disease
1F00.21,Encephalitis due to herpes simplex virus,emergency disease
1F00.3,Disseminated herpes simplex infection,emergency disease
1F00.Y,Other specified herpes simplex infections,not a valid entry
1F00.Z,Herpes simplex infections unspecified,not a valid entry
1F01,Roseola infantum,common disease
1F02.0,Rubella with neurological complications,emergency disease
1F02.1,Rubella arthritis,common disease
1F02.2,Rubella without complication,common disease
1F02.Y,Rubella with other specified complication,not a valid entry
1F03.0,Measles without complication,common disease
1F03.1,Measles complicated by encephalitis,emergency disease
1F03.2,Measles complicated by meningitis,emergency disease
1F03.Y,Measles with other complications,not a valid entry
1F04,Erythema infectiosum,common disease
1F05.0,Enteroviral vesicular stomatitis,common disease
1F05.1,Enteroviral vesicular pharyngitis,common disease
1F05.2,Enteroviral exanthematous fever,common disease
1F05.3,Foot and mouth disease,common disease
1F05.Y,Other specified picornavirus infections presenting in the skin or mucous membranes,not a valid entry
1F0Y,Other specified viral infections characterised by skin or mucous membrane lesions,not a valid entry
1F0Z,Viral infections characterised by skin or mucous membrane lesions unspecified,not a valid entry
1F20.00,Invasive aspergillosis of the digestive tract,emergency disease
1F20.01,Invasive cerebral aspergillosis,emergency disease
1F20.02,Disseminated aspergillosis,emergency disease
1F20.0Y,Invasive aspergillosis of other specified site,not a valid entry
1F20.10,Aspergillus otomycosis,common disease
1F20.11,Chronic aspergillosis of the paranasal sinuses,common disease
1F20.12,Chronic pulmonary aspergillosis,common disease
1F20.13,Tonsillar aspergillosis,common disease
1F20.14,Aspergillus bronchitis,common disease
1F20.15,Obstructing aspergillus tracheobronchitis,emergency disease
1F20.1Y,Other specified non-invasive aspergillosis,not a valid entry
1F20.Z,Aspergillosis unspecified,not a valid entry
1F21,Basidiobolomycosis,rare disease
1F22,Blastomycosis,rare disease
1F23.0,Candidosis of lips or oral mucous membranes,common disease
1F23.10,Vulvovaginal candidosis,common disease
1F23.11,Candida balanoposthitis,common disease
1F23.12,Flexural or intertriginous candidosis,common disease
1F23.13,Candidosis of nail or paronychium,common disease
1F23.14,Chronic mucocutaneous candidosis,rare disease
1F23.15,Disseminated cutaneous candidosis,rare disease
1F23.16,Candida otomycosis,common disease
1F23.1Y,Candidosis of skin or mucous membrane of other specified site,not a valid entry
1F23.1Z,Candidosis of skin or mucous membranes unspecified,not a valid entry
1F23.2,Candidosis of gastrointestinal tract,common disease
1F23.30,Candida meningitis,emergency disease
1F23.31,Pulmonary candidosis,emergency disease
1F23.3Y,Other specified systemic or invasive candidosis,not a valid entry
1F23.3Z,Systemic or invasive candidosis unspecified,not a valid entry
1F23.Y,Other specified candidosis,not a valid entry
1F23.Z,Candidosis unspecified,not a valid entry
1F24,Chromoblastomycosis,rare disease
1F25.00,Acute pulmonary coccidioidomycosis,emergency disease
1F25.01,Chronic pulmonary coccidioidomycosis,common disease
1F25.10,Disseminated coccidioidomycosis,emergency disease
1F25.11,Primary cutaneous coccidioidomycosis,common disease
1F25.12,Coccidioides meningitis,emergency disease
1F25.1Y,Other specified extrathoracic coccidioidomycosis,not a valid entry
1F25.Z,Coccidioidomycosis unspecified,not a valid entry
1F26,Conidiobolomycosis,rare disease
1F27.0,Pulmonary cryptococcosis,emergency disease
1F27.1,Cerebral cryptococcosis,emergency disease
1F27.2,Disseminated cryptococcosis,emergency disease
1F27.Y,Other specified cryptococcosis,not a valid entry
1F27.Z,Cryptococcosis unspecified,not a valid entry
1F28.0,Dermatophytosis of scalp,common disease
1F28.1,Dermatophytosis of nail,common disease
1F28.2,Dermatophytosis of foot,common disease
1F28.3,Genitocrural dermatophytosis,common disease
1F28.4,Kerion,common disease
1F28.5,Disseminated dermatophytosis,rare disease
1F28.Y,Other specified dermatophytosis,not a valid entry
1F28.Z,Dermatophytosis unspecified,not a valid entry
1F29,Eumycetoma,rare disease
1F2A.0,Pulmonary histoplasmosis capsulati,common disease
1F2A.1,Histoplasmosis due to Histoplasma duboisii,rare disease
1F2A.Y,Other specified histoplasmosis,not a valid entry
1F2A.Z,Histoplasmosis unspecified,not a valid entry
1F2B,Lobomycosis,rare disease
1F2C,Mucormycosis,emergency disease
1F2D.0,Pityriasis versicolor,common disease
1F2D.1,Malassezia folliculitis,common disease
1F2D.2,White piedra,rare disease
1F2D.3,Black piedra,rare disease
1F2D.4,Tinea nigra,rare disease
1F2D.5,Onychomycosis due to non-dermatophyte mould,common disease
1F2D.Y,Other specified non-dermatophyte superficial dermatomycoses,not a valid entry
1F2E.0,Pulmonary paracoccidioidomycosis,emergency disease
1F2E.1,Disseminated paracoccidioidomycosis,emergency disease
1F2E.Y,Other specified paracoccidioidomycosis,not a valid entry
1F2E.Z,Paracoccidioidomycosis unspecified,not a valid entry
1F2F,Phaeohyphomycosis,rare disease
1F2G.0,Pulmonary pneumocystosis,emergency disease
1F2G.Z,Pneumocystosis unspecified,not a valid entry
1F2H,Scedosporiosis,rare disease
1F2J.0,Lymphocutaneous sporotrichosis,rare disease
1F2J.1,Fixed cutaneous sporotrichosis,rare disease
1F2J.2,Pulmonary sporotrichosis,emergency disease
1F2J.3,Disseminated sporotrichosis,emergency disease
1F2J.Y,Other specified sporotrichosis,not a valid entry
1F2J.Z,Sporotrichosis unspecified,not a valid entry
1F2K,Talaromycosis,rare disease
1F2Z,Mycoses unspecified,not a valid entry
1F40.0,Plasmodium falciparum malaria with cerebral complications,emergency disease
1F40.Y,Other severe and complicated Plasmodium falciparum malaria,emergency disease
1F40.Z,Malaria due to Plasmodium falciparum unspecified,not a valid entry
1F41.0,Plasmodium vivax malaria with rupture of spleen,emergency disease
1F41.Y,Malaria due to Plasmodium vivax with other complications,emergency disease
1F41.Z,Plasmodium vivax malaria without complication,common disease
1F42.0,Plasmodium malariae malaria with nephropathy,emergency disease
1F42.Y,Malaria due to Plasmodium malariae with other complications,emergency disease
1F42.Z,Plasmodium malariae malaria without complication,common disease
1F43,Malaria due to Plasmodium ovale,not a valid entry
1F44,Other parasitologically confirmed malaria,not a valid entry
1F45,Malaria without parasitological confirmation,not a valid entry
1F4Z,Malaria unspecified,not a valid entry
1F50,Acanthamoebiasis,rare disease
1F51.00,Meningitis in Gambiense trypanosomiasis,emergency disease
1F51.0Y,Other specified gambiense trypanosomiasis,not a valid entry
1F51.0Z,Gambiense trypanosomiasis unspecified,not a valid entry
1F51.10,Meningitis in Rhodesiense trypanosomiasis,emergency disease
1F51.1Y,Other specified rhodesiense trypanosomiasis,not a valid entry
1F51.1Z,Rhodesiense trypanosomiasis unspecified,not a valid entry
1F51.Y,Other specified african trypanosomiasis,not a valid entry
1F51.Z,African trypanosomiasis unspecified,not a valid entry
1F52,Babesiosis,rare disease
1F53.0,Acute Chagas disease with heart involvement,emergency disease
1F53.1,Acute Chagas disease without heart involvement,emergency disease
1F53.2,Chronic Chagas disease with heart involvement,rare disease
1F53.3,Chagas disease with digestive system involvement,rare disease
1F53.4,Meningitis in Chagas disease,emergency disease
1F53.Y,Other specified Chagas disease,not a valid entry
1F53.Z,Chagas disease unspecified,not a valid entry
1F54.0,Visceral leishmaniasis,rare disease
1F54.1,Cutaneous leishmaniasis,rare disease
1F54.2,Mucocutaneous leishmaniasis,rare disease
1F54.Z,Leishmaniasis unspecified,not a valid entry
1F55,Naegleriasis,rare disease
1F56,Rhinosporidiosis,rare disease
1F57.0,Hepatitis due to Toxoplasma gondii,rare disease
1F57.1,Meningoencephalitis due to Toxoplasma gondii,emergency disease
1F57.2,Pulmonary toxoplasmosis due to Toxoplasma gondii,rare disease
1F57.3,Eye disease due to Toxoplasma gondii,rare disease
1F57.Y,Other specified toxoplasmosis,not a valid entry
1F57.Z,Toxoplasmosis unspecified,not a valid entry
1F58,Microsporidiosis,rare disease
1F5Z,Unspecified protozoal disease,not a valid entry
1F60.0,Eosinophilic meningitis due to Angiostrongylus cantonensis,emergency disease
1F60.1,Intestinal angiostrongyliasis,rare disease
1F60.Y,Other specified angiostrongyliasis,not a valid entry
1F60.Z,Angiostrongyliasis unspecified,not a valid entry
1F61,Anisakiasis,rare disease
1F62,Ascariasis,common disease
1F63.0,Capillariasis of the intestine,rare disease
1F63.Y,Other specified capillariasis,not a valid entry
1F63.Z,Capillariasis unspecified,not a valid entry
1F64,Dracunculiasis,rare disease
1F65,Enterobiasis,common disease
1F66.0,Loiasis,rare disease
1F66.1,Mansonelliasis,rare disease
1F66.2,Filariasis due to Brugia species,rare disease
1F66.30,Filariasis due to Wuchereria bancrofti,rare disease
1F66.31,Filariasis due to Brugia malayi,rare disease
1F66.32,Filariasis due to Brugia timori,rare disease
1F66.3Z,Lymphatic filariasis unspecified,not a valid entry
1F66.4,Subcutaneous dirofilariasis,rare disease
1F66.Y,Other specified filariasis,not a valid entry
1F66.Z,Filariasis unspecified,not a valid entry
1F67,Gnathostomiasis,rare disease
1F68.0,Ancylostomiasis,common disease
1F68.1,Necatoriasis,common disease
1F68.2,Cutaneous larva migrans,common disease
1F69,Oesophagostomiasis,rare disease
1F6A.0,Onchocerciasis of the eye,rare disease
1F6A.1,Onchocerciasis of the skin,rare disease
1F6A.Y,Other specified onchocerciasis,not a valid entry
1F6B,Strongyloidiasis,rare disease
1F6C,Syngamosis,rare disease
1F6D,Toxocariasis,rare disease
1F6E,Trichinosis,rare disease
1F6F,Trichostrongyliasis,rare disease
1F6G,Trichuriasis,rare disease
1F6H,Uncinariosis,rare disease
1F6Y,Other specified diseases due to nematodes,not a valid entry
1F6Z,Diseases due to nematodes unspecified,not a valid entry
1F70.00,Meningitis due to Cysticercosis,emergency disease
1F70.1,Cysticercosis of eye,rare disease
1F70.Y,Other specified cysticercosis,not a valid entry
1F70.Z,Cysticercosis unspecified,not a valid entry
1F71,Diphyllobothriasis,rare disease
1F72,Dipylidiasis,rare disease
1F73.0,Echinococcus infection of liver,rare disease
1F73.1,Echinococcus infection of lung,rare disease
1F73.2,Echinococcus infection of bone,rare disease
1F73.3,Echinococcus infection of central nervous system,emergency disease
1F73.Y,Other specified echinococcosis,not a valid entry
1F73.Z,Echinococcosis unspecified,not a valid entry
1F74,Hymenolepiasis,rare disease
1F75,Sparganosis,rare disease
1F76.0,Taeniasis due to Taenia solium,rare disease
1F76.1,Taeniasis due to Taenia saginata,rare disease
1F76.Y,Other specified taeniasis,not a valid entry
1F76.Z,Taeniasis unspecified,not a valid entry
1F7Y,Other specified diseases due to cestodes,not a valid entry
1F7Z,Diseases due to cestodes unspecified,not a valid entry
1F80,Clonorchiasis,rare disease
1F81,Dicrocoeliasis,rare disease
1F82,Fascioliasis,rare disease
1F83,Fasciolopsiasis,rare disease
1F84,Opisthorchiasis,rare disease
1F85,Paragonimiasis,rare disease
1F86.0,Schistosomiasis due to Schistosoma haematobium,rare disease
1F86.1,Schistosomiasis due to Schistosoma mansoni,rare disease
1F86.2,Schistosomiasis due to Schistosoma japonicum,rare disease
1F86.3,Other schistosomiases,not a valid entry
1F86.4,Cercarial dermatitis,common disease
1F86.5,Schistosomal pneumonitis,emergency disease
1F86.Z,Schistosomiasis due to unspecified or unknown Schistosoma species,not a valid entry
1F8Y,Other specified diseases due to trematodes,not a valid entry
1F8Z,Diseases due to trematodes unspecified,not a valid entry
1F90.0,Mixed intestinal helminthiases,not a valid entry
